Student,Group,Injured,Quit Team,Pct7,Per/Night,GPA.pre,GPA.post,Difference GPA,Clean.pre,Clean.post,Difference Clean,Back.pre,Back.post,Difference Back,Bench Diff,Bench.pre,Bench.post
2,Above,FALSE,FALSE,0.95,7.6,3.1,3.3,-0.2,265,290,-25,385,430,-45,-20,255,275
3,Above,FALSE,FALSE,0.9,7.5,2.94,3.46,-0.52,264,264,0,290,425,-135,0,290,290
4,Below,FALSE,TRUE,0.25,6,2.57,2.2,0.37,290,,,450,,,,275,
5,Below,FALSE,FALSE,0.44,6,3.5,3.5,0,280,265,15,415,390,25,35,270,235
6,Above,FALSE,FALSE,0.88,7,2.64,1.53,1.11,253,253,0,405,415,-10,-20,305,325
7,Above,FALSE,FALSE,1,8.5,3.44,3.25,0.19,217,242,-25,325,365,-40,-5,235,240
8,Above,FALSE,FALSE,0.65,7,3.46,3.42,0.04,253,264,-11,425,405,20,-5,315,320
9,Above,FALSE,FALSE,0.9,7.5,2.86,3.4,-0.54,286,292,-6,425,425,0,-10,290,300
10,Above,TRUE,FALSE,0.77,7.2,2.96,2.5,0.46,,270,,,405,,,,270
11,Above,FALSE,FALSE,1,9,2.25,1.46,0.79,205,231,-26,335,365,-30,-15,250,265
12,Above,FALSE,FALSE,1,8,3.87,4,-0.13,300,310,-10,400,405,-5,-10,305,315
13,Below,FALSE,FALSE,0.15,6,2.62,2.25,0.37,231,231,0,430,430,0,0,250,250
14,Below,FALSE,TRUE,0.37,6.8,2.25,2.75,-0.5,242,,,360,,,,220,
15,Above,FALSE,FALSE,0.92,7.4,2.84,3,-0.16,275,291,-16,405,425,-20,-20,300,320
16,Above,FALSE,FALSE,0.95,7.5,2.61,3.78,-1.17,250,265,-15,385,385,0,-30,225,255
17,Above,FALSE,FALSE,1,7,3.89,4,-0.11,275,275,0,390,390,0,-25,290,315
18,Below,FALSE,FALSE,0.82,6.5,2.5,2.75,-0.25,264,275,-11,425,425,0,-5,305,310
19,Above,FALSE,FALSE,0.9,7.5,3.79,3.25,0.54,301,295,6,450,450,0,5,280,275
20,Above,FALSE,FALSE,0.79,7,2.67,2.4,0.27,308,320,-12,450,420,30,-10,355,365
21,Above,FALSE,FALSE,0.85,7,2.59,3.2,-0.61,270,270,0,395,395,0,-20,295,315
22,Below,FALSE,FALSE,0.55,6.7,2.38,2.5,-0.12,185,185,0,335,335,0,0,190,190
23,Above,FALSE,FALSE,1,7.7,2.42,3,-0.58,220,260,-40,435,455,-20,-10,275,285
24,Above,FALSE,FALSE,0.96,8,2.39,2.25,0.14,155,184,-29,275,315,-40,-10,135,145
25,Above,FALSE,FALSE,0.98,8,2.61,2.75,-0.14,330,335,-5,550,555,-5,-15,405,420
26,Below,FALSE,FALSE,0.64,6,2.61,3.4,-0.79,230,230,0,325,325,0,0,225,225
27,Above,FALSE,FALSE,0.95,7,3.03,2.8,0.23,231,242,-11,350,380,-30,-45,250,295
